0         0         0    
0         1         100  
0         2         42   
0         3         27   
0         4         10   
0         5         34   
0         6         48   
0         7         77   
0         8         7    
0         9         64   
0         10        16   
0         11        61   
0         12        71   
0         13        27   
0         14        77   
0         15        100  
0         16        10   
0         17        25   
0         18        96   
0         19        14   
1         1         0    
1         2         56   
1         3         81   
1         4         76   
1         5         77   
1         6         100  
1         7         80   
1         8         40   
1         9         47   
1         10        6    
1         11        46   
1         12        11   
1         13        57   
1         14        39   
1         15        38   
1         16        66   
1         17        24   
1         18        37   
1         19        43   
2         2         0    
2         3         100  
2         4         10   
2         5         42   
2         6         23   
2         7         36   
2         8         18   
2         9         22   
2         10        98   
2         11        95   
2         12        69   
2         13        63   
2         14        9    
2         15        24   
2         16        95   
2         17        84   
2         18        53   
2         19        94   
3         3         0    
3         4         92   
3         5         92   
3         6         21   
3         7         89   
3         8         3    
3         9         77   
3         10        80   
3         11        92   
3         12        95   
3         13        3    
3         14        80   
3         15        89   
3         16        85   
3         17        79   
3         18        50   
3         19        26   
4         4         0    
4         5         86   
4         6         96   
4         7         74   
4         8         35   
4         9         90   
4         10        94   
4         11        97   
4         12        98   
4         13        18   
4         14        92   
4         15        34   
4         16        70   
4         17        37   
4         18        48   
4         19        13   
5         5         0    
5         6         20   
5         7         54   
5         8         83   
5         9         97   
5         10        33   
5         11        26   
5         12        43   
5         13        35   
5         14        5    
5         15        83   
5         16        19   
5         17        35   
5         18        32   
5         19        97   
6         6         0    
6         7         69   
6         8         92   
6         9         61   
6         10        3    
6         11        33   
6         12        7    
6         13        52   
6         14        82   
6         15        24   
6         16        95   
6         17        15   
6         18        45   
6         19        31   
7         7         0    
7         8         9    
7         9         11   
7         10        82   
7         11        62   
7         12        45   
7         13        30   
7         14        94   
7         15        22   
7         16        24   
7         17        81   
7         18        26   
7         19        6    
8         8         0    
8         9         61   
8         10        38   
8         11        47   
8         12        48   
8         13        6    
8         14        90   
8         15        60   
8         16        61   
8         17        22   
8         18        66   
8         19        12   
9         9         0    
9         10        41   
9         11        6    
9         12        70   
9         13        37   
9         14        88   
9         15        32   
9         16        46   
9         17        51   
9         18        66   
9         19        7    
10        10        0    
10        11        47   
10        12        1    
10        13        17   
10        14        71   
10        15        81   
10        16        94   
10        17        76   
10        18        83   
10        19        54   
11        11        0    
11        12        30   
11        13        53   
11        14        71   
11        15        71   
11        16        13   
11        17        31   
11        18        45   
11        19        30   
12        12        0    
12        13        48   
12        14        71   
12        15        99   
12        16        69   
12        17        7    
12        18        38   
12        19        53   
13        13        0    
13        14        88   
13        15        18   
13        16        11   
13        17        35   
13        18        64   
13        19        63   
14        14        0    
14        15        86   
14        16        95   
14        17        96   
14        18        14   
14        19        77   
15        15        0    
15        16        78   
15        17        58   
15        18        54   
15        19        100  
16        16        0    
16        17        18   
16        18        30   
16        19        73   
17        17        0    
17        18        23   
17        19        72   
18        18        0    
18        19        73   
19        19        0    
