20
479 761 520 281 695 518 458 82 444 179 231 228 305 18 536 496 628 147 685 102 
0 100 42 27 10 34 48 77 7 64 16 61 71 27 77 100 10 25 96 14 
100 0 56 81 76 77 100 80 40 47 6 46 11 57 39 38 66 24 37 43 
42 56 0 100 10 42 23 36 18 22 98 95 69 63 9 24 95 84 53 94 
27 81 100 0 92 92 21 89 3 77 80 92 95 3 80 89 85 79 50 26 
10 76 10 92 0 86 96 74 35 90 94 97 98 18 92 34 70 37 48 13 
34 77 42 92 86 0 20 54 83 97 33 26 43 35 5 83 19 35 32 97 
48 100 23 21 96 20 0 69 92 61 3 33 7 52 82 24 95 15 45 31 
77 80 36 89 74 54 69 0 9 11 82 62 45 30 94 22 24 81 26 6 
7 40 18 3 35 83 92 9 0 61 38 47 48 6 90 60 61 22 66 12 
64 47 22 77 90 97 61 11 61 0 41 6 70 37 88 32 46 51 66 7 
16 6 98 80 94 33 3 82 38 41 0 47 1 17 71 81 94 76 83 54 
61 46 95 92 97 26 33 62 47 6 47 0 30 53 71 71 13 31 45 30 
71 11 69 95 98 43 7 45 48 70 1 30 0 48 71 99 69 7 38 53 
27 57 63 3 18 35 52 30 6 37 17 53 48 0 88 18 11 35 64 63 
77 39 9 80 92 5 82 94 90 88 71 71 71 88 0 86 95 96 14 77 
100 38 24 89 34 83 24 22 60 32 81 71 99 18 86 0 78 58 54 100 
10 66 95 85 70 19 95 24 61 46 94 13 69 11 95 78 0 18 30 73 
25 24 84 79 37 35 15 81 22 51 76 31 7 35 96 58 18 0 23 72 
96 37 53 50 48 32 45 26 66 66 83 45 38 64 14 54 30 23 0 73 
14 43 94 26 13 97 31 6 12 7 54 30 53 63 77 100 73 72 73 0 
10
212 9 1 2 3 4 5 8 11 12 16 
222 6 0 3 4 6 10 18 
171 12 1 2 3 4 5 6 8 9 11 12 16 18 
474 6 1 2 4 14 15 16 
323 3 0 6 18 
214 14 0 1 2 3 5 6 8 10 11 12 14 15 16 18 
56 5 3 5 7 14 15 
357 11 0 1 2 4 5 6 8 14 15 16 18 
215 3 3 4 5 
68 2 6 18 
28 11 92 32 98 61 94 84 77 
